news,bias
POPULAR RESISTANCE,-2
PRESS PROGRESS,-2
PROGRESSIVE ARMY,-2
PROGRESSIVE CHANGE CAMPAIGN COMMITTEE,-2
PROJECT CENSORED,-2
QUEERTY,-2
RABBLE.CA,-2
RANTT MEDIA,-2
RAPPLER,-2
RAW STORY,-2
READER SUPPORTED NEWS,-2
READING THE PICTURES,-2
REAL NEWS NETWORK,-2
RED PEPPER,-2
REFINERY29,-2
REPUBLICANS SUCK,-2
REPUBLIC REPORT,-2
RESILIENCE,-2
REVCOM.US,-2
REWIRE.NEWS,-2
RIGHT WING WATCH,-2
RING OF FIRE,-2
ROLLING STONE,-2
SALON,-2
SAN FRANCISCO BAY VIEW,-2
SCARY MOMMY,-2
SECOND NEXUS,-2
SEVENTEEN,-2
SHADOW PROOF,-2
SHAREBLUE,-2
SHONDALAND,-2
SLATE,-2
SLUDGE,-2
SMIRKING CHIMP,-2
SOCIALIST STANDARD,-2
SOCIALISTWORKER.ORG,-2
SOURCE POLITICS,-2
SOURCEWATCH,-2
SOUTHERN POVERTY LAW CENTER,-2
SPLINTER,-2
ST. PETE FOR PEACE,-2
SYRIANA ANALYSIS,-2
TALKING POINTS MEMO,-2
TEEN VOGUE,-2
THE ADVOCATE,-2
THE AMERICAN INDEPENDENT INSTITUTE,-2
THE AMERICAN PROSPECT,-2
THE AUSTIN CHRONICLE,-2
THE BLUE ROUTE,-2
THE BURNING SPEAR,-2
THE CANARY,-2
THE CLIMATE REALITY PROJECT,-2
THE CUT,-2
THE DAILY 49ER,-2
THE DAILY BANTER,-2
THE DAILY BUZZ,-2
THE DAILY POSTER,-2
THE DAILY VOX,-2
THE DEMOCRATIC HUB,-2
THE DODO,-2
THE DWORKIN REPORT,-2
THE FLORIDA SQUEEZE,-2
THE GHION JOURNAL,-2
THE IMPROPER MAGAZINE,-2
THE INDYPENDENT,-2
THE INTELLECTUALIST,-2
THE LILY,-2
THE LONDON ECONOMIC,-2
THE MARY SUE,-2
THE MILITANT,-2
THE MONTHLY,-2
THE MORNING STAR,-2
THE NATION,-2
THE NATIONAL MEMO,-2
THE NEW CIVIL RIGHTS MOVEMENT,-2
THE OUTLINE,-2
THE PALESTINE CHRONICLE,-2
THE PHNOM PENH POST,-2
THE PROGRESSIVE,-2
THE PROGRESSIVE FRONTIER,-2
THE REALITY-BASED COMMUNITY,-2
THE ROOT,-2
THE SOURCE NEWSPAPER,-2
THE STERN FACTS,-2
THE STRANGER,-2
THE TEXAS OBSERVER,-2
THE VILLAGE VOICE,-2
THE WALRUS,-2
THE WASHINGTON SPECTATOR,-2
THE WEEK,-2
THE WORLD CAN’T WAIT,-2
THEGRIO,-2
THE ZERO HOUR,-2
THEM.US,-2
THEOSWATCH.COM,-2
THINK PROGRESS,-2
THIS MAGAZINE,-2
TOWLEROAD,-2
TREEHUGGER,-2
TRUTHDIG,-2
TRUTHOUT,-2
TRUTH THEORY,-2
UNICORN RIOT,-2
UPROXX,-2
UPWORTHY,-2
VANITY FAIR,-2
VERMONT INDEPENDENT,-2
VERRIT,-2
VIRAL TITLE,-2
VOTE,-2
VOX,-2
WALL STREET ON PARADE,-2
WASHINGTON BABYLON,-2
WASHINGTON DAILY WIRE,-2
WASHINGTON PRESS,-2
WASHINGTON SOURCES,-2
WASHINGTONIAN,-2
WEAR YOUR VOICE,-2
WE HUNTED THE MAMMOTH,-2
WHITE HOUSE WATCH,-2
WHO.WHAT.WHY,-2
WONKETTE,-2
WORKERS WORLD,-2
WORLD SOCIALIST WEB SITE,-2
YES MAGAZINE,-2
YOUNG TURKS,-2
YOUR BLACK WORLD,-2
Z MAGAZINE,-2
