news,bias
CENTER FOR STRATEGIC AND INTERNATIONAL STUDIES,0
CHANNEL NEWS ASIA – CNA,0
CHARITY NAVIGATOR,0
CHATTANOOGA TIMES FREE PRESS,0
CHINOOK OBSERVER,0
CHRISTIAN SCIENCE MONITOR,0
CINNCINATI EQUIRER,0
CNET,0
COMMITTEE FOR ECONOMIC DEVELOPMENT,0
COMMITTEE TO PROTECT JOURNALISTS,0
CONCORD MONITOR,0
CONGRESS.GOV,0
CONGRESSIONAL BUDGET OFFICE,0
CONSTITUTION DAILY,0
CONSUMER REPORTS,0
CONSUMERIST,0
COOK POLITICAL REPORTS,0
CORIERE DELLA SERA,0
CORONAVIRUS.GOV,0
COUNCIL ON FOREIGN RELATIONS,0
COUNTABLE NEWS,0
COURTHOUSE NEWS SERVICE,0
COVID TRACKING PROJECT,0
CP24,0
CRAINS DETROIT,0
CRIMEOLA,0
CTV NEWS,0
D.C. CIRCUIT BREAKER,0
DAILY BUSINESS REVIEW,0
DAILY CAMERA,0
DAILY JOURNAL,0
DAILY JOURNAL,0
DAILY MAVERICK,0
DAILY RECORD,0
DARIEN TIMES,0
DAYTON DAILY NEWS,0
DEFENSE NEWS,0
DEFENSE ONE,0
DEL RIO NEWS-HERALD,0
DENTON RECORD-CHRONICLE,0
DES MOINES REGISTER,0
DETIK.COM,0
DIFFERENCEBETWEEN.NET,0
DIGITAL JOURNAL,0
DOCTORS WITHOUT BORDERS,0
DPA GERMAN PRESS AGENCY,0
DULUTH NEWS TRIBUNE,0
EAGLE TRIBUNE,0
EAST IDAHO NEWS,0
EAU CLAIRE LEADER-TELEGRAM,0
EJ INSIGHT,0
ELKO DAILY FREE PRESS,0
EL NUEVO DIA,0
ERIE TIMES-NEWS,0
ERR NEWS,0
EURASIA GROUP,0
EVERY CRS REPORT,0
FACT CHECK,0
FACTWIRE NEWS AGENCY,0
FAIR OBSERVER,0
FAYETTEVILLE OBSERVER,0
FEDERAL NEWS NETWORK,0
FEDERAL TIMES,0
FINANCIAL TIMES,0
FIRST COAST NEWS,0
FIRST DRAFT NEWS,0
FLORIDA POLITICS,0
FLORIDA TIMES UNION,0
FOREIGN AFFAIRS,0
FOREIGN POLICY,0
FOSTER’S DAILY DEMOCRAT,0
FOURSTATESHOMEPAGE.COM,0
FRANCE 24,0
FULL FACT UK,0
GAINESVILLE SUN,0
GALLUP,0
GEEK.COM,0
GLOBAL INTEGRITY,0
GLOBAL SLAVERY INDEX,0
GLOBE GAZETTE,0
GOODNEWSNETWORK,0
GOVERNMENT ACCOUNTABILITY OFFICE,0
GOVTRACK,0
GREAT FALLS TRIBUNE,0
GREEN BAY PRESS-GAZETTE,0
GREENVILLE NEWS,0
GROUP OF THIRTY,0
HANFORD SENTINEL,0
HARVARD BUSINESS REVIEW,0
HARVARD GAZETTE,0
HASTINGS TRIBUNE,0
HEALTHCARE FINANCE NEWS,0
HERALD & REVIEW,0
HOAX SLAYER,0
HOMELAND SECURITY NEWS WIRE,0
HOW STUFF WORKS,0
HOW-TO GEEK,0
I24 NEWS,0
ICITIZEN,0
IDAHO STATESMAN,0
IMEDIAETHICS,0
INC. MAGAZINE,0
INDEPENDENT JOURNAL REVIEW,0
INDEPENDENT RECORD,0
INDEPENDENT VOTER NETWORK,0
INDEXMUNDI,0
INDIANAPOLIS STAR,0
INLAND VALLEY BULLETIN,0
INSTITUTE FOR WOMEN’S POLICY RESEARCH,0
INTERNATIONAL CONSORTIUM OF INVESTIGATIVE JOURNALISTS,0
INTERNATIONAL ENERGY AGENCY,0
INTERNATIONAL ORGANIZATION,0
INTERNATIONAL PRESS INSTITUTE,0
INTERNATIONAL RESCUE COMMITTEE,0
INVESTIGATIVE REPORTERS AND EDITORS,0
INVESTOPEDIA,0
JACKSON SUN,0
JANES 360,0
JAPAN TIMES,0
JEWISH TELEGRAPHIC AGENCY,0
JOURNAL GAZETTE,0
JUSTICE DENIED,0
KAISER FAMILY FOUNDATION,0
KAIT8-TV,0
KARE11,0
KBMT – 12NEWSNOW.COM,0
KCCI DES MOINES,0
KCRA 3,0
KCTV5,0
KDKA – CBS PITTSBURGH,0
KDVR-TV,0
KERO TV – 23ABC,0
KETV,0
KIRO 7,0
KITV,0
KMOV,0
KNOW YOUR MEME,0
KNOWHERE,0
KNOXVILLE NEWS SENITINEL,0
KOAM NEWS NOW,0
KOMPAS.COM,0
KSL-TV,0
KSTP-TV,0
KTLA,0
KTUU-TV,0
KTVA 11,0
KTVU FOX 2,0
KUSI-TV,0
KWTV-NEWS9,0
LA DEVOIR,0
LA LIBRE,0
LANSING STATE JOURNAL,0
LAS CRUCES SUN-NEWS,0
LAW.COM,0
LAW360,0
LAWFARE BLOG,0
LEAD STORIES,0
LEBANON DAILY NEWS,0
LE SOIR,0
LIMA CHARLIE NEWS,0
LINCOLN JOURNAL STAR,0
LNP – LANCASTERONLINE,0
LOMPOC RECORD,0
LONGVIEW NEWS-JOURNAL,0
LOVELAND REPORTER-HERALD,0
MAKEUSEOF,0
MEMEORANDUM,0
MEMPHIS COMMERCIAL APPEAL,0
MENTAL FLOSS,0
MERIDEN RECORD-JOURNAL,0
MERION WEST,0
METROWEST DAILY NEWS,0
NEWSNATION,0
MILITARY.COM,0
MILITARY TIMES,0
MISSOULIAN,0
MLIVE,0
MONTANA STANDARD,0
MORNING CONSULT,0
NAPA VALLEY REGISTER,0
NATIONAL BUREAU OF ECONOMIC RESEARCH,0
NATIONAL CONFERENCE OF STATE LEGISLATURES,0
NATIONAL INSTITUTE ON MONEY IN STATE POLITICS,0
NATIONAL JOURNAL,0
NATIONMASTER,0
NAVY TIMES,0
NEED2KNOW,0
NEW BERN SUN JOURNAL,0
NEW ZEALAND HERALD,0
NEWS AND NEWS,0
NEWS CHANNEL 4,0
NEWS FACTS NETWORK,0
NEWS LOOKUP,0
NEWS24,0
NEWSELA,0
NEWSGUARD,0
NEWSNET,0
NEWSNOW UK,0
NEWS STRAITS TIMES,0
NEWZJUNKY.COM,0
NEXTGOV,0
NISKANEN CENTER,0
NK NEWS,0
NO LABELS,0
NOOZHAWK,0
NORFOLK DAILY NEWS,0
NORTH KOREA TIMES,0
NORTHWEST FLORIDA DAILY NEWS,0
NORTHWEST INDIANA TIMES,0
NOVINITE,0
OIL PRICE,0
OPEN THE GOVERNMENT,0
OYEZ PROJECT,0
PACIFIC DAILY NEWS,0
PATCH,0
PATHEOS,0
PENSACOLA NEWS JOURNAL,0
PEORIA JOURNAL STAR,0
PETERSON FOUNDATION,0
PETERSON INSTITUTE FOR INTERNATIONAL ECONOMICS,0
PEW RESEARCH,0
PLACES JOURNAL,0
POCONO RECORD,0
POLITICAL WIRE,0
POLITIFACT,0
POLYGRAPH.INFO,0
POYNTER INSTITUTE,0
PR NEWSWIRE,0
PROCON.ORG,0
PUBLIC POLICY POLLING,0
PUBLIC RELIGION RESEARCH INSTITUTE,0
QUAD CITY TIMES,0
RADIO.COM,0
RADIO FREE EUROPE / RADIO LIBERTY,0
RAND CORPORATION,0
RAPID CITY JOURNAL,0
RARE NEWS,0
RECODE,0
RELEVANT MAGAZINE,0
REPORTER WITHOUT BORDERS,0
REPORTERS LAB,0
REUTERS,0
RFI – RADIO FRANCE INTERNATIONALE,0
RIVERBENDER.COM,0
RIVERDALE PRESS,0
ROANOKE TIMES,0
ROLL CALL,0
RTE,0
RUSSIAN MEDIA MONITOR,0
SAN DIEGO UNION TRIBUNE,0
SAN MARCOS DAILY RECORD,0
SANTA MARIA TIMES,0
SARASOTA HERALD-TRIBUNE,0
SAYFIE REVIEW,0
SCIENCE DEBATE,0
SCOOPNEST,0
SCOTUSBLOG,0
SHAREABLY,0
SHORENSTEIN CENTER,0
SHREVEPORT TIMES,0
SIMPLE POLITICS,0
SIOUX CITY JOURNAL,0
SKY NEWS,0
SMARTNEWS,0
SNOPES,0
SOUTH BEND TRIBUNE,0
SOUTH FLORIDA SUN-SENTINEL,0
SPECTRUM NEWS – NY1,0
SPECTRUM REPORT,0
ST. CLOUD TIMES,0
STARS AND STRIPES,0
STATEN ISLAND ADVANCE,0
STATESMAN JOURNAL,0
STATESVILLE RECORD & LANDMARK,0
STATISTA,0
STIMSON CENTER,0
STRATEGYPAGE,0
STRATFOR,0
TAIPEI TIMES,0
TASK AND PURPOSE,0
TELEGRAM & GAZETTE,0
TEXAS STANDARD,0
THAT’S NONSENSE,0
THE AUBURN CITIZEN,0
THE AUSTRALIAN FINANCIAL REVIEW,0
THE BALANCE,0
THE BATTLEFORDS NEWS OPTIMIST,0
THE BUREAU OF INVESTIGATIVE JOURNALISM,0
THE CANADIAN PRESS,0
THE CIPHER BRIEF,0
THE COLUMBIAN,0
THE CONVERSATION,0
THE DAILY CHRONICLE,0
THE DAILY GAZETTE,0
THE DAILY NEWS,0
THE DAILY NORTHWESTERN,0
THE DAILY PROGRESS,0
THE DAY,0
THE DEFCON WARNING SYSTEM,0
THE DIPLOMAT MAGAZINE,0
THE ECONOMIST,0
THE FAKE NEWS CODEX,0
THE FLIP SIDE,0
THE HERALD JOURNAL,0
THE HERALD NEWS,0
THE HERALD-DISPATCH,0
THE HERALD-SUN,0
THE HILL,0
THE JAMESTOWN FOUNDATION,0
THE JORDAN TIMES,0
THE JOURNAL STANDARD,0
THE MACON TELEGRAPH,0
THE MARIETTA TIMES,0
THE MARSHALL PROJECT,0
THE MEME POLICEMAN,0
THE MODERATED MEDIA,0
THE MODESTO BEE,0
THE MONITOR,0
THE MORNING CALL,0
THE NEVADA INDEPENDENT,0
THE NEWS,0
THE NEWS INTERNATIONAL,0
THE NEWS LITERACY PROJECT,0
THE OBSERVATORY,0
THE OUTLOOK,0
THE PANTAGRAPH,0
THE POST AND COURIER,0
THE POST STAR,0
THE POST-STANDARD,0
THE RECORD – STOCKTON,0
THE REGISTER UK,0
THE REPUBLIC,0
THE REPUBLICAN,0
THE SCOTSMAN,0
THE SENTINEL,0
THE SMOKING GUN,0
THE SOCIABLE,0
THE SOUTHERN ILLINOISAN,0
THE STAR DEMOCRAT,0
THE STRATEGY BRIDGE,0
THE TENNESSEAN,0
THE TIMES,0
THE TIMES AND DEMOCRAT,0
THE TOWN TALK,0
THE TRUTHSETTER,0
THE VINDICATOR,0
THE WATERLOO-CEDAR FALLS COURIER,0
THE ZDF,0
THIRD WAY,0
THOUGHTCO,0
TIMES OF SAN DIEGO,0
TIMES-NEWS,0
TODAY I FOUND OUT,0
TRANSPARENCY INTERNATIONAL,0
TRANSPARTISAN REVIEW,0
TRAVERSE CITY RECORD-EAGLE,0
TRIBUNE CONTENT AGENCY,0
TRI-CITY HERALD,0
TRUTH BE TOLD,0
TRUTHORFICTION.COM,0
TUT.BY,0
TVW WASHINGTON STATE,0
UNDARK,0
UNITED PRESS INTERNATIONAL,0
UNITED STATE HOUSE OF REPRESENTATIVES,0
USA SPENDING,0
USAFACTS,0
UTAH STANDARD-EXAMINER,0
VERA FILES,0
VIRAL THREAD,0
VOCATIV,0
VOICE OF AMERICA,0
VOS IZ NEIAS,0
VOTE SMART,0
WACO TRIBUNE-HERALD,0
WAR ON THE ROCKS,0
WASHINGTON JOURNAL,0
WASHINGTON’S TOP NEWS,0
WBNS-TV,0
WBTV,0
WCAX3,0
WDIV – CLICKONDETROIT,0
WE ARE THE MIGHTY,0
WENY NEWS,0
WETM – MYTWINTIERS.COM,0
WFMYNEWS2.COM,0
WFMZ,0
WGHP – FOX8,0
WGN NEWS,0
WIKINEWS,0
WIKIPEDIA,0
WIKITRIBUNE,0
WINNIPEG FREE PRESS,0
WINONA DAILY NEWS,0
WINSTON-SALEM JOURNAL,0
WION,0
WISCONSIN STATE JOURNAL,0
WMUR9,0
WOFL,0
WORLD ECONOMIC FORUM,0
WORLD NEWS,0
WORLDOMETER,0
WORLD POLITICS REVIEW,0
WORLD POPULATION REVIEW,0
WORLD PRESS REVIEW,0
WPXI,0
WRAL,0
WSAZ NEWS CHANNEL,0
WTAE PITTSBURGH’S ACTION NEWS,0
WTVF – NEWSCHANNEL5,0
WTXF-TV FOX 29,0
WUSA9.COM,0
WVEC – 13NEWSNOW.COM,0
WXIA – 11ALIVE.COM,0
ZDNET,0
