news,bias
THE DAILY CLIMATE,-1
THE DAILY HIVE,-1
THE DAILY TARHEEL,-1
THE DOMINION POST,-1
THE EUROPEAN COUNCIL ON FOREIGN RELATIONS,-1
THE EXPRESS-TIMES,-1
THE FORWARD,-1
THE FRONTIER,-1
THE FULCRUM,-1
THE GUARDIAN,-1
THE HERALD,-1
THE HILL TALK,-1
THE HINDU,-1
THE HUMANIST MAGAZINE,-1
THE INDEPENDENT,-1
THE INDIAN EXPRESS,-1
THE INTERCEPT,-1
THE IRISH TIMES,-1
THE IRRAWADDY,-1
THE JAKARTA POST,-1
THEJOURNAL.IE,-1
THE JOURNAL NEWS,-1
THE KOREA TIMES,-1
THE LINCOLN PROJECT,-1
THE LIST,-1
THE LOCAL,-1
THE MAUI NEWS,-1
THE MODERATE VOICE,-1
THE MOTLEY FOOL,-1
THE NEW ARAB,-1
THE NEW TROPIC,-1
THE NEWS TRIBUNE,-1
THE NEWS-TIMES,-1
THE NEXT WEB,-1
THE OBSERVER,-1
THE ODYSSEY ONLINE,-1
THE OLYMPIAN,-1
THE PALM BEACH POST,-1
THE PATRIOT-NEWS,-1
THE PLAIN DEALER,-1
THE PRESS DEMOCRAT,-1
THE PULSE,-1
THE RECORD,-1
THE RINGER,-1
THE SANTA FE NEW MEXICAN,-1
THE SATURDAY PAPER,-1
THE SKIMM,-1
THE STATE,-1
THE STATE PRESS,-1
THE SUN MAGAZINE,-1
THE SYDNEY MORNING HERALD,-1
THE TAB,-1
THE TRACE,-1
THE TYEE,-1
THE VARSITY,-1
THE VERGE,-1
THE VIRGINIAN-PILOT,-1
THE WEEK UK,-1
THE WILDERNESS SOCIETY,-1
THE WIRE – INDIA,-1
THEWRAP,-1
THOMSON REUTERS FOUNDATION,-1
THRILLIST,-1
TIME MAGAZINE,-1
TIMELINE,-1
TIMES COLONIST,-1
TIMES HEADLINE,-1
TIMES OF ISRAEL,-1
TIMES-PICAYUNE,-1
TMZ,-1
TODAY.COM,-1
TOMDISPATCH.COM,-1
TORONTO STAR,-1
TYPE MEDIA CENTER,-1
UAWIRE,-1
UNION OF CONCERNED SCIENTISTS,-1
UNITED FEDERATION OF TEACHERS,-1
UNIVERSITY BUSINESS,-1
UKRAYINSKA PRAVDA,-1
URBAN INSTITUTE,-1
USA TODAY,-1
USNEWS AND WORLD REPORT,-1
UTAH PUBLIC RADIO,-1
UTICA OBSERVER-DISPATCH,-1
VARIETY MAGAZINE,-1
VIBE,-1
VICE NEWS,-1
VICTORIA ADVOCATE,-1
VIRGINIA MERCURY,-1
VOICE OF SAN DIEGO,-1
VOTE VETS,-1
VULTURE,-1
WALESONLINE,-1
WAMU-FM,-1
WASHINGTON BLADE,-1
WASHINGTON MONTHLY,-1
WASHINGTON POST,-1
WESTERN MASS NEWS,-1
WHITEHOUSE.GOV,-1
WIKILEAKS,-1
WINGS OVER SCOTLAND,-1
WIRED MAGAZINE,-1
WISH-TV,-1
WNYC,-1
WOODROW WILSON INTERNATIONAL CENTER,-1
WORLD POLICY INSTITUTE,-1
WORLDCRUNCH,-1
WORLD RESOURCES INSTITUTE,-1
WRC-TV,-1
WSVN,-1
XINHUA NEWS AGENCY,-1
YAHOO NEWS,-1
YALEGLOBAL ONLINE,-1
YNETNEWS,-1
YORK DAILY RECORD,-1
YORK DISPATCH,-1
YOUTH RADIO,-1
