news,financial_news,bias
THE MOTLEY FOOL,1,-1.0
THE NATION,0,-2.0
THE NATION THAILAND,0,
THE NEW INDIAN EXPRESS,0,
THE NEW PAPER,0,
THE NEW TIMES,0,-1.0
THE NEW YORK OBSERVER,0,1.0
THE NEW YORK TIMES,0,-1.0
THE NEW ZEALAND HERALD,0,0.0
THE NEWS & OBSERVER,0,0.0
THE NEWS HEATER,1,
THE NEWS TODAY,0,
THE ONION,0,
THE ORANGE COUNTY REGISTER,0,1.0
THE OREGONIAN,0,1.0
THE OUTER BANKS VOICE,1,
THE PALM BEACH POST,0,-1.0
THE PATRIOT-NEWS,0,-1.0
THE PEOPLE'S DAILY,0,
THE PHILADELPHIA INQUIRER,0,-1.0
THE PIONEER,0,-1.0
THE PLAIN DEALER,0,-1.0
THE POST AND COURIER,0,0.0
THE PRESS-ENTERPRISE,0,1.0
THE PUNCH,0,
THE RECORD,0,-1.0
THE RIO TIMES,0,
THE RIO TIMES - FINANCIAL NEWS,1,
THE SACRAMENTO BEE,0,-1.0
THE SAN DIEGO UNION-TRIBUNE,0,
THE SANTIAGO TIMES,0,
THE SEATTLE TIMES,0,-1.0
THE SENTINEL,0,0.0
THE SIASAT DAILY,0,
THE SPOKESMAN-REVIEW,0,1.0
THE STANDARD,0,1.0
THE STANDARD - HONGKONG,0,
THE STAR ONLINE,0,
THE STATE,0,-1.0
THE STATESMAN,0,
THE STRAITS TIMES,0,1.0
THE STREET,1,
THE SUN UK,0,
THE SYDNEY MORNING HERALD,0,-1.0
THE TELEGRAPH,0,
THE TENNESSEAN,0,0.0
THE THAIGER,0,
THE THINK CURIOUSER,1,
THE TIMES,0,0.0
THE TRIBUNE,0,
THE VANCOUVER SUN,0,1.0
THE WALL STREET JOURNAL,1,1.0
THE WALL STREET TRANSCRIPT,1,
THE WASHINGTON POST,0,-1.0
THE WEEKLY TIMES,0,
THE WEST AUSTRALIAN,0,1.0
THE WICHITA EAGLE,0,1.0
THIS DAY,0,
THIS IS MONEY,1,
TIFFIN ADVERTISER TRIBUNE,1,
TIMES UNION,0,
TODAY,0,
TORONTO STAR,0,-1.0
TORONTO SUN,0,2.0
TOTAL CROATIA NEWS,0,
TRADERS MAGAZINE,1,
TRI-STATE LIVESTOCK NEWS,1,
TRIBUNE-REVIEW,0,
TRUD,0,
TULLAHOMANEWS AND GUARDIAN,1,
UKRAIN BUSINESS NEWS,1,
USA TODAY,0,-1.0
VANGUARD,0,
VECHERNAYA MOSKVA,0,
VEDOMOSTI,0,
VENEZUELANALYSIS,0,
VIETNAM ECONOMIC TIMES,1,
VIETNAM NEWS,0,
WALL STREET DAILY,1,
WALL STREET PIT,1,
WALL STREET REPORTER,1,
WARSAW BUSINESS JOURNAL,1,
WASHINGTON TIMES,0,
WATER FINANCE & MANAGEMENT,1,
WEBMD,0,
WHAT INVESTMENT,1,
WINNIPEG FREE PRESS,0,0.0
WORLD BANK GROUP,1,
WORLD FINANCE,1,
WORLD HEALTH ORGANIZATION,0,
WORTH,1,
WUXI DAILY,0,
YAHOO FINANCE,1,
YANGTSE EVENING POST,0,
ZACKS INVESTMENT RESEARCH,1,
ZHONGSHAN DAILY,0,
