Value,Date,Sub-Sector,Super Region,Timelevel,Frequency,Region,Parameter,Unit,Source
474.89,2019-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
460.37,2019-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
456.88,2019-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
458.46,2019-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
466.84,2019-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
476.06,2019-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
469.97,2019-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
463.28,2019-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
463.28,2019-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
442.74,2019-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
425.14,2019-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
411.46,2018-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
411.46,2018-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
418.16,2018-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
416.97,2018-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
404.48,2018-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
400.73,2018-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
409.33,2018-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
414.84,2018-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
433.28,2018-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
435.06,2018-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
423.45,2018-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
423.45,2018-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
423.52,2018-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
419.9,2018-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
421.65,2017-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
421.65,2017-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
453.05,2017-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
459.73,2017-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
469.59,2017-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
459.98,2017-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
483.41,2017-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
501.56,2017-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
516.81,2017-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
524.29,2017-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
538.6,2017-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
538.6,2017-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
525.42,2017-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
506.8,2017-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
484.62,2016-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
484.62,2016-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
490.73,2016-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
491.2,2016-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
471.54,2016-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
486.68,2016-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
493.46,2016-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
500.86,2016-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
511.86,2016-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
509.32,2016-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
504.81,2016-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
504.81,2016-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
492.15,2016-02-29,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
471.77,2016-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
449.22,2015-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
449.22,2015-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
455.99,2015-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
455.21,2015-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
429.13,2015-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
425.85,2015-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
424.81,2015-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
438.81,2015-06-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
448.96,2015-05-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
452.71,2015-04-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
443.2,2015-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
443.2,2015-03-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
415.31,2015-02-28,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
389.21,2015-01-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
360.87,2014-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
360.87,2014-12-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,QUARTERLY,Q,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
356.73,2014-11-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
351.72,2014-10-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
332.16,2014-09-30,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
331.08,2014-08-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
338.74,2014-07-31,SHORT-TERM ENERGY OUTLOOK,GLOBAL DATA,MONTHLY,M,UNITED STATES,CRUDE OIL INVENTORY (EXCLUDING SPR),"MILLION BARRELS, END-OF-PERIOD",U.S.ENERGY INFORMATION ADMINISTRATION
